NDB_No,Shrt_Desc,Energ_Kcal,Energ_Kcal,Protein_(g),Carbohydrt_(g),Vit_C_(mg),Sodium_(mg),Calcium_(mg),Cholestrl_(mg),GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2
12063,"ALMONDS,DRY RSTD,WO/SALT",598,598,20.96,21.01,0,3,268,0,138,"1 cup, whole kernels",28.35,"1 oz,  (22 whole kernels)"
12206,"ALMONDS,HONEY RSTD,UNBLANCHED",594,594,18.17,27.9,0.7,130,263,0,144,"1 cup, whole kernels",28.35,1 oz
12565,"ALMONDS,OIL RSTD,W/SALT",607,607,21.23,17.68,0,339,291,0,157,"1 cup, whole kernels",28.35,"1 oz,  (22 whole kernels)"
12065,"ALMONDS,OIL RSTD,WO/SALT",607,607,21.23,17.68,0,1,291,0,157,"1 cup, whole kernels",28.35,"1 oz,  (22 whole kernels)"
20002,"AMARANTH GRAIN,CKD",102,102,3.8,18.69,,6,47,,246,1 cup,,
20001,"AMARANTH GRAIN,UNCKD",371,371,13.56,65.25,4.2,4,159,0,193,1 cup,,
11700,"AMARANTH LEAVES,CKD,BLD,DRND,W/SALT",21,21,2.11,4.11,41.1,257,209,0,132,1 cup,,
11004,"AMARANTH LEAVES,CKD,BLD,DRND,WO/SALT",21,21,2.11,4.11,41.1,21,209,0,132,1 cup,,
11003,"AMARANTH LEAVES,RAW",23,23,2.46,4.02,43.3,20,215,0,28,1 cup,14,1 leaf
15002,"ANCHOVY,EUROPEAN,CND IN OIL,DRND SOL",210,210,28.89,0,0,3668,232,85,28.35,"1 oz, boneless",4,1 anchovy
15001,"ANCHOVY,EUROPEAN,RAW",131,131,20.35,0,0,104,147,60,85,3 oz,,
28354,"ANDREA'S,GLUTEN FREE SOFT DINNER ROLL",257,257,5.65,40.24,,544,41,,69,1 roll,,
4609,"ANIMAL FAT,BACON GREASE",897,897,0,0,0,150,0,95,4.3,1 tsp,,
2002,ANISE SEED,337,337,17.6,50.02,21,16,646,0,2.1,"1 tsp, whole",6.7,"1 tbsp, whole"
9400,"APPLE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C",46,46,0.1,11.3,38.5,4,8,0,248,1 cup,31,1 fl oz
9517,"APPLE JUC,CND OR BTLD,UNSWTND,W/ ADDED VIT C,CA,& K",48,48,0.12,11.49,30.3,5,70,0,177,6 fl oz,295,10 fl oz
9016,"APPLE JUC,CND OR BTLD,UNSWTND,WO/ ADDED VIT C",46,46,0.1,11.3,0.9,4,8,0,248,1 cup,31,1 fl oz
