No,Nama,Kalori,Protein ,Karbohidrat,Vit.C,Air,Kalsium,Lemak,Porsi,Berat (g)
258,Kerupuk Udang berpati,359,17.2,332,0,12,337,68.2,1 buah,8
259,Krupuk Ikan Berpati,sedang,48,4,0,0,45,5,1 buah,4.8
260,Krupuk Udang Berpati,sedang,508,5,0,0,274,10,1 buah,508
261,Kura-kura,83,19.1,0,0,80,27,0.2,1 ekor,13
262,Peda Ikan Banjar,156,28,0,0,46,174,4,1 ekor,99.8
263,Petis Ikan,161,20,24,0,56,37,0.2,1 potong,69
264,Petis Udang,220,15,40,0,39,37,0.1,1 sdm,20
265,Pindang Ikan Banjar,157,28,0,0,59,50,4.2,1 ekor,14.4
266,Pindang Ikan Benggol,170,31,0,0,57,50,4.2,1 ekor,50.6
267,Pindang Ikan Layang,153,30,0,0,60,60,2.8,1 ekor,13.2
268,Pindang Ikan Selar Kecil,142,27,0,0,60,60,3,1 ekor,17
269,Rebon (udang kecil segar),81,16.2,0.7,0,79,757,1.2,1 sdm,10
270,Rebon kering,299,29.4,3.2,0,21.6,2306,3.6,1 sdm,4.1
271,Sardines dalam kaleng,338,21.1,1,0,47.1,354,27,1 potong,26.4
272,Terasi Merah,174,30,3.5,0,40,100,3.5,1 potong,45
273,Udang kering,295,62.4,1.8,0,20.7,1209,2.3,1 sdm,10
274,Udang segar,91,21,0.1,0,75,136,0.2,1 gelas,200
275,Andewi,25,1.6,5.3,10,91.8,33,0.2,1 mangkok,22.4
276,Baje,129,1.9,15.6,9,55.3,85,6.6,1 kg,1000
277,Baligo,13,0.4,3,13,96.1,19,0.2,1 potong,75
278,Batang Tading,137,4.3,19.1,4,14.3,54,4.8,1 kg,1000
279,Bawang Bombay,45,1.4,10.3,9,87.5,32,0.2,1 buah,75.4
280,Bawang Merah,39,1.5,0.2,2,88,36,0.3,1 siung,8.8
281,Bawang Putih,95,4.5,23.1,15,71,42,0.2,1 siung,12.8
282,Bayam Merah,51,4.6,10,80,82,368,0.5,1 ikat,224
283,Bayam kukus,30,1.3,5.8,32,90.7,239,0.7,1 gelas,100
284,Bayam rebus,23,1.2,3.7,19,93.5,150,0.6,1 mangkok,145
285,Bayam segar,36,3.5,6.5,80,86.9,267,0.5,1 mangkok,50
286,Bayam tumis + oncom,102,3.7,6.9,16.8,0,127.4,6.7,1 mangkok,223.2
287,Bayam tumis bersantan,48,1.4,2.6,22,91.2,129,4.2,1 mangkok,240
288,Bit,42,1.6,9.6,10,87.6,27,0.1,1 buah,92.6
289,Boros Kunci,23,1,7.2,50,90,50,0.8,1 rimpang,26.8
290,Boros Laja,22,1,4.7,50,93,50,0.3,1 buah,15
291,Buncis,35,2.4,7.7,19,88.9,6.5,0.2,1 buah,10
292,Buncis asam,60,5.1,8.5,9.5,0,72.3,0.5,1 buah,8.2
293,Buncis rebus,30,2.2,6.4,8,90.6,107,0.2,1 gelas,100
294,Cabe Hijau Besar,23,0.7,5.2,84,93.4,14,0.3,1 buah,6.7
295,Cabe Merah Besar kering,311,15.9,61.8,50,10,160,6.2,1 buah,5.2
296,Cabe Merah Besar segar,31,1,7.3,18,90.9,29,0.3,1 buah,5
297,Cabe Rawit segar,103,4.7,19.9,70,71.2,45,2.4,1 mangkok,164.4
